name,location,link,precio,metros_cuadrados,n_dormitorios,n_baños
"- .  REF: 437-00038P.  LA PROPIEDAD 
 
",manilva,/alquiler-de-apartamentos-en-manilva-malaga/-386132446.htm,900,140m,3 dorm.,2 baños
SANCHINARRO - CORTE INGLES,Madrid,/alquiler-de-pisos-en-madrid-madrid/sanchinarro-corte-ingles-364734819.htm,1020,85m,1 dorm.,1 baños
BAILÉN - MIRAFLORES,malaga,/alquiler-de-pisos-en-malaga-malaga/bailen-miraflores-386138421.htm,690,70m,3 dorm.,1 baños
ZONA PLAZA XÚQUER,paiporta,/alquiler-de-pisos-en-paiporta-valencia/zona-plaza-xuquer-385488354.htm,625,80m,3 dorm.,2 baños
SANTA MARÍA DE GETXO,getxo,/alquiler-de-aticos-en-getxo-vizcaya/santa-maria-de-getxo-387636850.htm,900,72m,2 dorm.,1 baños
CIGALES,cigales,/alquiler-de-pisos-en-cigales-valladolid/cigales-387067092.htm,550,104m,3 dorm.,2 baños
CHURRIANA,malaga,/alquiler-de-apartamentos-en-malaga-malaga/churriana-386840445.htm,800,95m,3 dorm.,1 baños
- .  REF: REF. 1902015-A.  REF.  1902015-A  SE,alhaurin de la torre,/alquiler-de-apartamentos-en-alhaurin-de-la-torre-malaga/-383914350.htm,550,60m,1 dorm.,1 baños
1º DE MAYO - CENTRO DE SALUD,Las Palmas de Gran Canaria,/alquiler-de-pisos-en-las-palmas-de-gran-canaria-las_palmas/1o-de-mayo-377003325.htm,550,60m,2 dorm.,1 baños
RETIRO,madrid,/alquiler-de-pisos-en-madrid-madrid/retiro-384373423.htm,890,60m,1 dorm.,1 baños
HUMANES DE MADRID,humanes,/alquiler-de-pisos-en-humanes-madrid/humanes-de-madrid-384340644.htm,650,80m,3 dorm.,1 baños
CUATRO CAMINOS,santander,/alquiler-de-pisos-en-santander-cantabria/cuatro-caminos-381745873.htm,625,85m,2 dorm.,1 baños
CHAMARTÍN,madrid,/alquiler-de-pisos-en-madrid-madrid/chamartin-376090350.htm,1100,75m,2 dorm.,1 baños
CHAMARTÍN,madrid,/alquiler-de-pisos-en-madrid-madrid/chamartin-378059164.htm,1000,75m,2 dorm.,1 baños
CHAMBERÍ,madrid,/alquiler-de-pisos-en-madrid-madrid/chamberi-376998297.htm,850,66m,1 dorm.,1 baños
- .  REF: 009.  APARTAMENTO EN LA ZONA DEL,benidorm,/alquiler-de-apartamentos-en-benidorm-alicante/-361181739.htm,460,55m,1 dorm.,1 baños
JUAN DE LA CIERVA,getafe,/alquiler-de-pisos-en-getafe-madrid/juan-de-la-cierva-353754674.htm,850,78m,3 dorm.,1 baños
ZONA NORTE - UNIVERSIDAD EN MÓSTOLES,mostoles,/alquiler-de-pisos-en-mostoles-madrid/zona-norte-universidad-en-mostoles-386174140.htm,740,95m,3 dorm.,1 baños
VENTAS DE RETAMOSA (LAS),ventas de retamosa,/alquiler-de-pisos-en-ventas-de-retamosa-toledo/ventas-de-retamosa-las-387252408.htm,300,65m,1 dorm.,1 baños
MARTORELL,martorell,/alquiler-de-pisos-en-martorell-barcelona/martorell-386920837.htm,700,90m,3 dorm.,1 baños
CENTRO - JUAN FLÓREZ - PLAZA PONTEVEDRA,a coruna,/alquiler-de-pisos-en-a-coruna-la_coruna/centro-juan-florez-plaza-pontevedra-372636117.htm,1300,150m,5 dorm.,2 baños
SALAMANCA DE MADRID - CALLE ALCALA 219,madrid,/alquiler-de-pisos-en-madrid-madrid/salamanca-de-madrid-362372067.htm,1100,63m,1 dorm.,1 baños
AGRA DEL ORZÁN - VENTORRILLO - VIOÑO,a coruna,/alquiler-de-pisos-en-a-coruna-la_coruna/agra-del-orzan-ventorrillo-viono-372637166.htm,750,110m,4 dorm.,2 baños
CHAMBERÍ,madrid,/alquiler-de-apartamentos-en-madrid-madrid/chamberi-387201196.htm,900,69m,1 dorm.,1 baños
CENTRO DE MADRID,madrid,/alquiler-de-pisos-en-madrid-madrid/centro-de-madrid-386023715.htm,1100,90m,2 dorm.,2 baños
CENTRO DE MADRID,madrid,/alquiler-de-pisos-en-madrid-madrid/centro-de-madrid-386636784.htm,800,52m,1 dorm.,1 baños
LAS GALLETAS - PASEO LOS FRAILITOS,Arona,/alquiler-de-apartamentos-en-arona-tenerife/las-galletas-381675203.htm,550,60m,1 dorm.,1 baños
EIXAMPLE,barcelona,/alquiler-de-pisos-en-barcelona-barcelona/eixample-372705509.htm,899,69m,2 dorm.,1 baños
GUAYONJE - MESA DEL MAR,tacoronte,/alquiler-de-pisos-en-tacoronte-tenerife/guayonje-mesa-del-mar-375546745.htm,500,60m,1 dorm.,1 baños
CENTRO - ZONA ESPECIAL CALLE DOCTOR FLEMING,elche,/alquiler-de-pisos-en-elche-alicante/centro-380869685.htm,800,98m,3 dorm.,2 baños
LONGUERA - TOSCAL,los realejos,/alquiler-de-estudios-en-los-realejos-tenerife/longuera-toscal-387128993.htm,350,35m,1 dorm.,1 baños
HORTALEZA - CALLE DULCE CHACÓN 49,madrid,/alquiler-de-apartamentos-en-madrid-madrid/hortaleza-385054414.htm,1200,64m,1 dorm.,1 baños
CENTRO,jerez de la frontera,/alquiler-de-pisos-en-jerez-de-la-frontera-cadiz/centro-370610739.htm,750,100m,3 dorm.,2 baños
RETIRO - CALLE NARVÁEZ 52,madrid,/alquiler-de-pisos-en-madrid-madrid/retiro-375282348.htm,1150,75m,2 dorm.,1 baños
NORESTE,jerez de la frontera,/alquiler-de-pisos-en-jerez-de-la-frontera-cadiz/noreste-384943954.htm,500,80m,2 dorm.,1 baños
RETIRO - CALLE NARVAEZ 52,madrid,/alquiler-de-pisos-en-madrid-madrid/retiro-379463918.htm,1600,101m,2 dorm.,2 baños
RETIRO - CALLE NARVÁEZ 52,madrid,/alquiler-de-estudios-en-madrid-madrid/retiro-375275832.htm,800,35m,,1 baños
ARGANZUELA - CALLE PEÑUELAS 25,madrid,/alquiler-de-pisos-en-madrid-madrid/arganzuela-366853564.htm,725,70m,2 dorm.,1 baños
CENTRO DE VALDEMORO - CALLE SAN NICOLÁS 5,valdemoro,/alquiler-de-estudios-en-valdemoro-madrid/centro-de-valdemoro-381734606.htm,550,40m,,1 baños
CHAMBERÍ - CALLE ZURBANO 89,madrid,/alquiler-de-pisos-en-madrid-madrid/chamberi-366853539.htm,1350,89m,3 dorm.,2 baños
CENTRO DE VALDEMORO - CALLE SAN NICOLÁS 5,valdemoro,/alquiler-de-apartamentos-en-valdemoro-madrid/centro-de-valdemoro-381747326.htm,600,60m,1 dorm.,1 baños
CENTRO DE MADRID - CALLE LIBREROS 10,madrid,/alquiler-de-estudios-en-madrid-madrid/centro-de-madrid-366867589.htm,650,35m,,1 baños
CENTRO DE MADRID - CALLE SILVA 21,madrid,/alquiler-de-pisos-en-madrid-madrid/centro-de-madrid-366846167.htm,1150,75m,2 dorm.,1 baños
